Name,Order,Team,_id,imageURL,owner,playerID,price
Manish Pandey,44,Lucknow Super Giants,6237432cbc98f09d4442ccd9,https://www.cricket.com.au/-/media/Players/Men/International/India/Manish-Pandey-ODI-2016.ashx,Stark,276,1
Marcus Stoinis,47,Lucknow Super Giants,6237432cbc98f09d4442ccdc,https://www.cricket.com.au/-/media/Players/Men/Domestic/Melbourne%20Stars/BBL09/Marcus-Stoinis-BBL09.ashx,Tim,199,4
Aiden Markram,53,Sunrisers Hyderabad,6237432cbc98f09d4442cce2,https://english.sakshi.com/visual-stories/sports/2021-09-12/Aiden-Markram-CWC19_1631394991.png,Stark,66,4
Rahul Tripathi,56,Sunrisers Hyderabad,6237432cbc98f09d4442cce5,https://res.cloudinary.com/celebritystill/image/upload/v1523803250/ipl/rahul-tripathi.png,Eric Wedge-Bull,3305,5
Shimron Hetmyer,64,Rajasthan Royals,6237432cbc98f09d4442cced,https://www.cricket.com.au/-/media/Players/Men/International/West%20Indies/ODIWC19/Shimron-Hetmyer-CWC19.ashx,Stark,108,8
Sheldon Jackson,66,Kolkata Knight Riders,6237432cbc98f09d4442ccef,https://www.kkr.in/static-assets/images/players/2020/37338.png?v=3.5&w=200,teamless,2897,0
Devon Conway,70,Chennai Super Kings,6237432cbc98f09d4442ccf3,https://resources.ecb.co.uk/photo-resources/2021/08/02/8b6cfb8d-6c75-4727-a0fb-ce0bb80b272c/DevonConway_20210726_029_2021072662838750_20210726063002_adobespark.png?width=460height=690,Tim,4817,2
Robin Uthappa,72,Chennai Super Kings,6237432cbc98f09d4442ccf5,https://qph.fs.quoracdn.net/main-qimg-b6f01564357a5deef952b0c2935072da,teamless,1760,0
Sean Abbott,73,Sunrisers Hyderabad,6237432cbc98f09d4442ccf6,https://www.sydneysixers.com.au/-/media/Players/Men/Domestic/Sydney%20Sixers/BBL11/Sean-Abbott-2122.ashx,teamless,872,0
Sandeep Sharma,78,Punjab Lions,6237432cbc98f09d4442ccfb,https://iplstatic.s3.amazonaws.com/players/284/1112.png,teamless,2966,0
Tim Seifert,82,Delhi Capitals,6237432cbc98f09d4442ccff,https://static.indiatv.in/khabar-global/events/ipl-2020/players/kkr/tim-seifert.png,teamless,208,0
Rajvardhan Hangargekar,83,Chennai Super Kings,6237432cbc98f09d4442cd00,https://images.cricket.com/players/71152_headshot_safari.png,teamless,99999,0
Tilak Varma,84,Mumbai Indians,6237432cbc98f09d4442cd01,https://www.mumbaiindians.com/static-assets/images/players/large/70761.png?v=1.66&w=400,teamless,8370,0
Mahendra Singh Dhoni,85,Chennai Super Kings,6237432cbc98f09d4442cd02,https://www.cricket.com.au/-/media/Players/Men/International/India/ODIWC19/MS-Dhoni-CWC19.ashx,teamless,274,0
Shivam Dube,87,Chennai Super Kings,6237432cbc98f09d4442cd04,https://iplstatic.s3.amazonaws.com/players/284/5431.png,teamless,4940,0
Shivam Mavi,89,Kolkata Knight Riders,6237432cbc98f09d4442cd06,https://iplstatic.s3.amazonaws.com/players/284/3779.png,teamless,3368,0
Alzarri Joseph,97,Gujarat Titans,6237432cbc98f09d4442cd0e,https://www.mumbaiindians.com/static-assets/images/players/large/64264.png?v=1.66&w=400,teamless,115,0
